trial,Run,Number of Moves,Moves
0,0,171,"['left', 'up', 'right', 'left', 'down', 'down', 'left', 'down', 'left', 'right', 'right', 'left', 'left', 'right', 'up', 'down', 'up', 'right', 'down', 'down', 'left', 'up', 'down', 'left', 'down', 'up', 'right', 'down', 'up', 'up', 'left', 'up', 'left', 'down', 'left', 'right', 'up', 'down', 'left', 'left', 'left', 'right', 'up', 'left', 'right', 'down', 'down', 'left', 'down', 'up', 'left', 'up', 'up', 'down', 'left', 'left', 'left', 'left', 'up', 'down', 'down', 'right', 'down', 'left', 'right', 'right', 'down', 'up', 'right', 'up', 'down', 'left', 'right', 'down', 'up', 'left', 'up', 'left', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'up', 'right', 'right', 'right', 'down', 'right', 'left', 'up', 'right', 'left', 'down', 'up', 'left', 'right', 'up', 'up', 'left', 'down', 'up', 'down', 'up', 'up', 'up', 'up', 'left', 'up', 'up', 'down', 'up', 'up', 'down', 'right', 'up', 'down', 'left', 'right', 'left', 'up', 'right', 'down', 'right', 'up', 'right', 'up', 'right', 'left', 'up', 'left', 'down', 'down', 'left', 'down', 'left', 'up', 'down', 'up', 'down', 'up', 'down', 'left', 'left', 'right', 'up', 'down', 'down', 'up', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'left', 'down', 'down', 'right', 'up', 'down', 'down', 'down', 'up', 'up', 'down', 'right']"
0,1,123,"['up', 'left', 'down', 'up', 'down', 'down', 'down', 'up', 'up', 'down', 'left', 'left', 'left', 'down', 'left', 'left', 'right', 'up', 'left', 'right', 'right', 'left', 'left', 'up', 'down', 'left', 'left', 'down', 'up', 'right', 'right', 'up', 'right', 'left', 'up', 'right', 'left', 'right', 'down', 'left', 'left', 'down', 'right', 'left', 'up', 'up', 'left', 'up', 'down', 'down', 'left', 'down', 'down', 'up', 'down', 'right', 'left', 'up', 'down', 'up', 'down', 'left', 'down', 'up', 'left', 'down', 'up', 'up', 'down', 'right', 'right', 'left', 'up', 'right', 'down', 'left', 'right', 'up', 'down', 'right', 'left', 'right', 'right', 'up', 'left', 'left', 'down', 'down', 'right', 'down', 'down', 'left', 'right', 'up', 'left', 'right', 'up', 'down', 'left', 'right', 'up', 'left', 'left', 'right', 'right', 'down', 'left', 'right', 'right', 'up', 'right', 'right', 'left', 'down', 'left', 'up', 'down', 'right', 'down', 'up', 'left', 'right', 'down']"
0,2,92,"['left', 'left', 'left', 'left', 'down', 'up', 'up', 'up', 'down', 'down', 'up', 'left', 'right', 'down', 'up', 'right', 'right', 'left', 'down', 'left', 'right', 'left', 'right', 'down', 'up', 'right', 'down', 'right', 'right', 'left', 'right', 'right', 'down', 'right', 'left', 'left', 'left', 'up', 'down', 'down', 'left', 'left', 'down', 'down', 'left', 'right', 'down', 'left', 'right', 'up', 'down', 'left', 'right', 'up', 'down', 'left', 'right', 'up', 'up', 'down', 'left', 'left', 'down', 'right', 'right', 'up', 'up', 'up', 'down', 'up', 'left', 'up', 'right', 'right', 'right', 'down', 'up', 'up', 'up', 'left', 'right', 'left', 'right', 'down', 'down', 'right', 'up', 'down', 'up', 'up', 'left', 'down']"
0,3,106,"['up', 'up', 'right', 'left', 'up', 'right', 'left', 'down', 'left', 'up', 'down', 'right', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'up', 'left', 'up', 'right', 'down', 'up', 'right', 'left', 'left', 'up', 'up', 'down', 'left', 'up', 'left', 'down', 'left', 'up', 'up', 'down', 'right', 'right', 'right', 'left', 'down', 'down', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'left', 'down', 'left', 'right', 'down', 'up', 'left', 'down', 'left', 'up', 'up', 'up', 'up', 'left', 'up', 'right', 'down', 'down', 'up', 'right', 'up', 'down', 'down', 'right', 'up', 'down', 'left', 'left', 'down', 'down', 'down', 'down', 'up', 'left', 'left', 'down', 'left', 'up', 'down', 'down', 'left', 'up', 'left', 'down', 'up', 'left', 'down', 'down', 'left', 'right']"
0,4,155,"['down', 'right', 'up', 'up', 'down', 'right', 'down', 'left', 'right', 'up', 'down', 'up', 'right', 'right', 'left', 'down', 'up', 'down', 'left', 'up', 'right', 'up', 'down', 'right', 'down', 'left', 'down', 'right', 'down', 'down', 'up', 'right', 'right', 'right', 'up', 'up', 'right', 'up', 'down', 'up', 'up', 'up', 'up', 'right', 'up', 'left', 'down', 'left', 'down', 'right', 'right', 'right', 'up', 'up', 'up', 'down', 'down', 'right', 'down', 'down', 'down', 'down', 'left', 'right', 'right', 'left', 'up', 'down', 'down', 'down', 'down', 'up', 'up', 'up', 'up', 'left', 'up', 'right', 'down', 'right', 'right', 'left', 'right', 'right', 'left', 'up', 'right', 'up', 'up', 'up', 'up', 'up', 'down', 'down', 'up', 'left', 'right', 'left', 'up', 'up', 'right', 'left', 'down', 'up', 'up', 'down', 'up', 'down', 'up', 'up', 'left', 'up', 'right', 'left', 'up', 'right', 'down', 'right', 'down', 'down', 'up', 'left', 'right', 'up', 'up', 'up', 'down', 'down', 'down', 'right', 'left', 'down', 'down', 'up', 'left', 'right', 'left', 'up', 'left', 'down', 'up', 'up', 'right', 'right', 'down', 'left', 'up', 'up', 'down', 'up', 'left', 'up', 'left', 'down', 'right']"
1,0,86,"['down', 'right', 'left', 'right', 'right', 'right', 'up', 'down', 'down', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'down', 'down', 'up', 'down', 'down', 'down', 'right', 'left', 'left', 'down', 'left', 'up', 'down', 'right', 'right', 'left', 'down', 'left', 'down', 'right', 'left', 'right', 'left', 'down', 'right', 'up', 'up', 'up', 'up', 'right', 'right', 'left', 'left', 'left', 'up', 'right', 'left', 'right', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'left', 'right', 'up', 'up', 'down', 'left', 'down', 'up', 'left', 'right', 'left', 'down', 'left', 'left', 'up', 'left', 'up', 'right', 'left', 'left', 'up', 'left', 'down', 'down', 'down']"
1,1,96,"['right', 'down', 'left', 'right', 'left', 'right', 'up', 'left', 'down', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'right', 'down', 'right', 'left', 'right', 'right', 'up', 'left', 'right', 'down', 'up', 'right', 'down', 'left', 'right', 'right', 'down', 'down', 'down', 'right', 'left', 'up', 'right', 'right', 'left', 'down', 'up', 'right', 'down', 'up', 'down', 'left', 'left', 'up', 'right', 'up', 'right', 'right', 'up', 'left', 'right', 'down', 'left', 'down', 'up', 'right', 'down', 'right', 'right', 'right', 'up', 'right', 'up', 'right', 'up', 'right', 'left', 'down', 'right', 'up', 'up', 'right', 'left', 'right', 'left', 'right', 'left', 'up', 'right', 'right', 'up', 'left', 'right', 'left', 'down', 'up', 'left', 'left', 'down', 'left']"
1,2,125,"['right', 'up', 'up', 'up', 'left', 'down', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'up', 'down', 'up', 'left', 'right', 'up', 'down', 'down', 'left', 'down', 'left', 'left', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'left', 'down', 'left', 'right', 'left', 'right', 'left', 'down', 'up', 'up', 'right', 'left', 'down', 'up', 'up', 'down', 'up', 'left', 'left', 'left', 'left', 'left', 'left', 'down', 'up', 'down', 'up', 'right', 'right', 'up', 'down', 'right', 'down', 'up', 'right', 'right', 'right', 'left', 'right', 'down', 'up', 'left', 'up', 'up', 'left', 'down', 'left', 'left', 'right', 'right', 'up', 'down', 'left', 'down', 'up', 'down', 'right', 'up', 'right', 'right', 'left', 'left', 'left', 'right', 'up', 'down', 'up', 'right', 'down', 'down', 'down', 'down', 'down', 'right', 'up', 'left', 'right', 'up', 'right', 'down', 'left', 'right', 'up', 'up', 'right', 'down', 'up', 'right', 'left', 'right', 'down']"
1,3,166,"['up', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'down', 'right', 'left', 'down', 'left', 'up', 'left', 'up', 'down', 'right', 'down', 'right', 'right', 'up', 'up', 'down', 'up', 'up', 'down', 'right', 'right', 'right', 'up', 'left', 'up', 'down', 'right', 'left', 'up', 'right', 'right', 'right', 'right', 'right', 'left', 'up', 'up', 'left', 'down', 'up', 'left', 'down', 'left', 'right', 'right', 'up', 'left', 'up', 'down', 'up', 'down', 'left', 'up', 'down', 'left', 'right', 'down', 'left', 'down', 'down', 'left', 'right', 'right', 'up', 'right', 'up', 'left', 'right', 'right', 'right', 'left', 'up', 'right', 'up', 'left', 'left', 'up', 'left', 'up', 'down', 'down', 'left', 'left', 'right', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'left', 'left', 'down', 'left', 'left', 'right', 'right', 'right', 'up', 'right', 'up', 'right', 'left', 'right', 'left', 'down', 'right', 'down', 'right', 'up', 'down', 'down', 'down', 'left', 'right', 'right', 'down', 'down', 'left', 'down', 'down', 'left', 'down', 'down', 'left', 'down', 'down', 'left', 'left', 'left', 'up', 'left', 'left', 'up', 'up', 'up', 'right', 'left', 'down', 'down', 'right', 'left', 'up', 'down', 'up', 'right', 'right', 'right', 'up', 'down', 'down', 'left', 'right', 'right', 'left', 'up', 'up']"
1,4,98,"['right', 'up', 'up', 'right', 'down', 'left', 'up', 'up', 'left', 'left', 'down', 'right', 'left', 'up', 'down', 'right', 'right', 'down', 'up', 'left', 'left', 'up', 'up', 'left', 'up', 'down', 'right', 'right', 'up', 'down', 'down', 'up', 'down', 'down', 'up', 'down', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'right', 'down', 'up', 'up', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'up', 'down', 'up', 'down', 'left', 'up', 'left', 'right', 'up', 'down', 'up', 'down', 'right', 'down', 'left', 'up', 'down', 'right', 'down', 'left', 'right', 'right', 'left', 'left', 'right', 'right', 'right', 'left', 'down', 'left', 'down', 'down', 'up', 'left', 'left', 'left', 'down', 'right', 'left', 'right', 'up', 'up', 'down']"
